Gene	ERR1607958	ERR1607959	ERR1607960	ERR1607961	ERR1607962	ERR1607963	ERR1607964	ERR1607965	ERR1607966	ERR1607967	ERR1607968	ERR1607969	ERR1607970	ERR1607971	ERR1607972	ERR1607973
YKL035W	4.027398722258828	4.464138720368462	4.274395212925541	4.057586140984817	3.5088985349832336	3.6565827010673946	3.385260486506022	3.584153114000686	3.549547154078933	3.7721338439157757	3.779595298341837	3.714685543522001	3.0921484356185216	3.2882701276883326	3.1061382457768847	3.07021666893571
YKL036C	0.06933507313945372	0.5223921257189765	0.06933507313945372	0.4084756005172566	0.40680210274829065	0.40680210274829065	0.29865439759317475	0.4355832268470949	0.450650137424209	0.33678970631092847	0.5061797386773601	0.46539492567081775	0.5957231184850167	0.5261006204665526	0.5848103061812882	0.5790284656813238
YKL037W	0.41771115303958456	0.22038898039653138	0.4667324585013256	0.5080717561627147	0.24543671657737567	0.2935499457549783	0.5223921257189765	0.5061797386773601	0.35466387542729527	0.5469182934385876	0.46605496690945786	0.5161275015938369	0.35242417982591795	0.36289849228081145	0.461268615840418	0.36997774198886724
YKL038W	2.295159919141179	2.369475318493415	2.549908690330857	2.4156867558868917	2.451004067831933	2.2880514994176746	2.4564300326943167	2.4564300326943167	1.560101688984061	1.545881174717825	1.6121131168194096	1.6049824934633983	1.619203867611749	1.6157980559640246	1.6154047402048541	1.6824089611535418
YKL039W	3.5574641952228894	3.4131097192915476	3.566878766244354	3.814975259068276	2.6649890618193126	2.6924275233043367	2.7236717615467754	2.6649890618193126	3.431911767890056	3.3083328294864054	3.32720473712029	3.3953082884464205	3.1028407062939283	3.104228067703967	2.9646889591965384	3.071909838092634
YKL040C	1.7745173356002524	1.9698805912422004	2.031829121924452	1.7063124288452673	2.0219779754622644	1.996986790881541	1.978222771080993	2.0515173155608935	2.172601727044219	2.159626994788114	2.036506935782838	2.0660560234618797	2.249294905800922	2.042157003639992	1.9655160356751997	2.0015163049427462
YKL041W	1.7572104754343312	1.645929686060901	1.7228451004078127	1.6416775829896846	1.6413643622962635	1.63131612205309	1.651415932515314	1.710981628995936	1.5091874544621933	1.4946990184656177	1.4906276215362468	1.4956734259444102	1.3027691159001593	1.3686298808464636	1.3279238819109116	1.3024132409882963
YKL042W	1.2577251349533207	1.3330837077946154	1.1502255271610968	1.2246831866599823	1.0689553786075479	1.1112839005039543	1.037829335490729	1.0428301015894603	1.0680549051916126	1.1168663613564604	1.0834313330097662	1.0999972903767248	1.2175473482240338	1.2054904348196813	1.1753813011617842	1.2100395802619837
YKL043W	4.501352653971649	3.779595298341837	4.374180222914072	4.622827840259459	3.325504976946931	3.166095650319499	3.38719812323345	3.3190596182673806	2.354748358131755	2.295694660985591	2.41447402580617	2.453013133252627	2.1341307785371875	2.4312000098541207	2.1684283873600028	2.2349911102822513
YKL044W	1.316859235599719	1.1673978544482004	1.2691976674074679	1.3944033210862463	1.0572068332097684	1.0462026339479127	1.082469618559662	1.1209427665228457	0.9618558634359636	0.904377624425699	0.9365926866449468	0.9360831640143892	0.9016636196484248	0.92876701345025	0.9472163901792807	0.9034148287159447
