Gene	SRR3655584	SRR3655585	SRR3655586	SRR3655587	SRR3655588	SRR3655589	SRR3655590	SRR3655591	SRR3655592	SRR3655593	SRR3655594	SRR3655595	SRR3655596	SRR3655597	SRR3655598	SRR3655599	SRR3655600	SRR3655601	SRR3655602	SRR3655603
YOL064C	1.4982126559964353	1.9216411488803926	1.5218792536830668	1.5097709620020225	2.1456998364989293	1.8494191015881989	2.4621422991302735	2.99841665368951	2.0630666974781064	3.1926200966919556	1.4869631732553807	1.4396230739025615	1.6919344382373827	1.2663602678477779	2.0327088475307744	2.054997283566614	2.7776233002036874	3.231698142581575	3.5088985349832336	3.938209859249115
YOL065C	1.381206901452859	1.1284531071396853	1.085924239344241	1.5861351947685094	1.148306710033608	1.1225664248261178	1.337463169770264	1.2014263790212436	1.2717795696074181	1.7767957062101294	1.1775742970003276	1.1773412357320958	1.3385904840692564	1.3004079809855482	1.3102876377357662	1.235823328863909	1.0585615009397906	1.160746274142303	1.2602271453150766	1.1178347732484415
YOL066C	1.7980902914139287	1.4370324348778998	2.040471365662767	1.6177907847028077	2.1063922163975026	2.331762874390094	1.9028351080470447	1.852970999537132	2.4621422991302735	2.4855398621437756	1.883200231140917	1.6043454175827705	1.9513083304528833	1.5537340163051656	1.7720893694364581	1.9250143186406574	1.7165320269438396	1.9450616677313404	2.352475292325197	1.881596706382873
YOL067C	0.32242536387829723	0.5971051858668761	0.9133907831800575	0.9497883643634266	1.0482426265734839	0.9138709659055333	0.6869215193599756	0.38294661843166744	0.4943255732318295	0.7646071721649352	0.8001223242196024	0.43602159242321964	0.9902882212053408	0.6257027539932151	1.2409288391264588	1.1199336474161388	0.8280128102209814	0.3860537584320394	0.7480207626498231	0.8865882059721394
YOL068C	2.4276833371523128	1.6375834051364861	2.082836228053722	2.007603000657466	2.170715643884718	2.72812706698633	2.7161613002677707	2.399267942882565	2.732793315168044	2.5392255125053955	2.396913668031665	2.3071692128037617	2.029971157713695	2.737748396383861	2.936359075921383	2.8301342585153444	2.6230060617267315	2.5513406207728107	3.114797551699236	3.1748756757950787
YOL069W	3.9863334759323834	3.2375765963763996	3.0993159807344264	4.711933296700684	3.893980285643069	3.2701065747428215	3.1595480662398874	2.6000404009872016	2.6799113566012935	2.2868599378007954	3.6507234554185617	3.5236066880574004	3.23423979048511	2.6512919258366305	3.539653072136492	2.7755286011714513	2.5835177982643693	2.561049435546979	3.2646395883405956	3.68630202725684
YOL070C	4.750955268123949	3.5418982207119694	3.7721338439157757	2.399710651957608	4.301388241013671	5.394131818941976	4.69359636324986	3.4360358717210846	3.764382163189069	4.281327129267812	6.18335616835546	4.558664695048312	4.428983347802596	4.266541637199937	6.283697918144227	6.621104219430337	5.5345897631471	4.266541637199937	3.6011520711587917	4.387872653029509
YOL071W	1.1517772918662472	1.6657402654275473	1.1031365907080777	0.46191811066646876	1.2886660291230347	1.2983715081028941	1.2742776357599215	1.2950098825384349	0.8800649443483295	1.1232417412160656	1.3120094869788466	1.2837840792609954	1.3712498391396108	1.4307648632921324	1.4036679703797927	1.029298818094028	1.4326650351474521	1.23905627276068	1.066870149221347	1.2480564998957857
YOL072W	1.1284531071396853	1.090225544729482	1.5205629116716517	1.504117636953409	0.9651451713619661	0.8882622023203187	1.4312958156696933	1.1909111334814293	1.063041994547287	1.0169543654888078	1.0546348727167467	1.5484473938102592	1.3594990322096256	1.7729051459505087	1.1171332777542426	1.180777186530387	1.1662193307549023	1.4216540592199545	1.278883194441122	1.7146632643422655
YOL073C	5.501020347462963	4.7431600173775035	6.080196785203378	5.543752420883603	5.081297996929054	5.260201127514564	5.921336477433437	5.887129146400355	3.882236909035906	4.840408476610124	5.7350097112637926	4.5791405736007915	4.557809981052351	3.43439340724483	4.225785628650702	4.5709509787027205	4.79449133639527	4.669328783620941	4.5791405736007915	5.460632508406998
YOL075C	1.4592999937587359	1.2236905849099649	1.5174308363967275	1.489797785612193	1.5726712057360892	1.4906276215362468	1.4323199010086256	1.3964530044171546	1.5627580352839003	1.5838127337337453	1.3772427962180804	1.8779357759706587	1.4451588363280812	1.8954945042775855	1.704032615821369	1.6016840232677039	1.6067945421504737	1.754289928127942	1.316498158563824	1.9216411488803926
YOL076W	1.8701981601212319	2.1522949864640464	1.4883610245068999	2.7755286011714513	1.80070526826455	2.0603152564569744	2.04815525762746	1.9858976216961512	2.7903532051739903	1.7628229140973475	2.3040494780829137	2.0078771259360013	1.9510512804773668	0.9861780693763333	1.9694239310818704	1.7941839563343005	2.0921179433293946	2.0566636146801676	2.4694928023801284	2.1107076493990338
YOL077C	3.856338688048404	2.6536928276327965	3.5376754592141277	4.407476367276523	3.4456635392168127	3.3330876791208124	3.1028407062939283	3.133776829970021	2.4328399607685656	3.07021666893571	4.0475653363904405	4.035065367578067	3.137551346847112	3.917849106492046	3.798028662976357	3.856338688048404	3.7250558508452523	3.4216873839397746	3.68630202725684	4.027398722258828
YOL077W-A	3.321459275422391	2.793145461469655	4.0936080920495534	4.0475653363904405	3.575855586305434	2.7679753740864808	1.71732015599715	1.5712761694264565	1.825551722049143	1.0237523164420264	2.8174428682961974	3.2467536152209346	3.3953082884464205	3.550919974806831	3.0126579769421644	1.943618278400735	1.917379997616579	2.0683694369512713	1.5422187127331843	1.2328644558088235
YOL078W	2.038647588558262	1.9358832976895581	1.9702997916657339	1.9136837376474125	2.163946810209142	2.021570099372748	1.8310080596321159	1.6016840232677039	2.0374127927044636	2.2265963074166786	2.1107076493990338	1.7754450633081473	1.8884953637831412	2.2914709386694647	1.758771521423658	2.0087431875685526	1.7624545232046658	1.793902741080927	1.9381653350148391	1.5354388730194157
YOL079W	0.32242536387829723	0.5971051858668761	0.44446616714740195	0.46191811066646876	0.36241043974018516	0.332001932152033	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.444045522890658	0.3493524440840029	0.43602159242321964	0.314860972930152	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.3860537584320394	0.33308388384289533	0.3844484752166766
YOL080C	3.5359051707531277	2.549373727879057	2.353934357128349	2.602666593916251	2.864293979361793	2.331008152073939	2.1711781173408164	2.315597668272062	2.3495893235498073	1.968686745807772	3.7021639595886477	3.306845669101401	3.039652037992175	2.602666593916251	3.1851040351897106	2.9308355838401385	2.3164116047381964	2.926157953331201	2.718226567533397	2.658212472017074
