Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
YDL245C	0.382218521756245	0.36289849228081145	0.10833521771768795	0.4461788035765666	0.567044210286691	0.5982787279438966	0.5479612307343303	0.4891778896442357	0.41991153096898326	0.5277041886583345	0.30853219322205705
YDL246C	0.7753720462014426	0.826127904557338	0.10833521771768795	0.8295213613276788	0.8094661471014455	0.8501871885351712	0.8283603683038511	0.826789556387002	0.7839097186786672	0.0932034663690275	0.827636594043872
YDL247W	1.0643038285062005	1.0948871690288964	1.0496273878921056	0.8744615318332807	0.9176777379477414	0.962785136912176	0.8827571949960991	1.0578319801547438	0.977052512936208	1.013873904293828	0.8613093160049995
YDL247W-A	0.7404160933737983	0.7346057438576441	0.725706179670363	0.7141326064131566	0.7421969807331581	0.7491674002750874	0.7416416778474374	0.7671484682832755	0.7550283785778823	0.7362291736242096	0.6759014424347112
YDL248W	1.8714322513308377	1.8424103385145454	1.7254649597236809	1.384510628791974	1.8612380207084178	1.7899582960067364	1.334024333944375	1.7618191695568337	1.7218184782372348	1.7030023944018917	1.4780939464507663
YDR001C	3.509709136952973	3.002015092263358	2.7815317552781336	2.4140027858752147	4.019141763404134	3.882236909035906	2.029971157713695	3.2815366261162606	3.49899322232656	2.913788471685361	3.575855586305434
YDR002W	4.391961552362714	4.572996055202996	4.47521315809601	4.797675999036535	4.220325522149896	4.345100504035207	4.669328783620941	4.583646507864212	4.353189861298398	4.603291316450904	4.492107475901829
YDR003W	1.3424956282701195	1.2210812379734044	1.2308168283464727	1.1579071207526275	1.378111884133542	1.3951670440208694	1.0996957199841142	1.2835648538358224	1.332853252158366	1.1920444448721947	1.2799158377067092
YDR003W-A	0.8677021040273802	0.8677021040273802	0.8332693022589723	0.813167233368371	0.8581792411452318	0.8360505632798325	0.8350451430724461	0.849881212489586	0.8733427127574358	0.8443401581218037	0.8414650412364264
YDR004W	1.3421955190704549	1.367663927561523	1.3074560261431245	1.2377759971748759	1.269772766381672	1.2853111934132393	1.286963874401182	1.2990993598397345	1.261884325789623	1.2505964750371605	1.3173722791824767
YDR005C	1.691279418889615	1.5451718340109324	1.5364572194855146	1.3917914297836647	1.7245035195887883	1.755495567465228	1.3700577324848782	1.6440870987795093	1.6577136714854723	1.5112165737240446	1.5476580732993703
YDR006C	2.2707860252902994	2.468641063608035	2.5875034952487814	2.550739630484458	2.295694660985591	2.1645572425256825	2.633905462446144	2.343181176737525	2.3302910388563323	2.399267942882565	2.453013133252627
YDR007W	1.6216802697856267	1.558724666651072	1.6516621663200288	1.496172499489595	1.5265263479016458	1.6720220792536784	1.6072216339180239	1.546767540625021	1.6072216339180239	1.6600520850001765	1.591433817121501
YDR008C	0.5588598557716499	0.5547901194855038	0.6507430280222217	0.6906777922172267	0.5843525078306908	0.5441543021045406	0.5903219836185399	0.6679328224002313	0.5998147956284894	0.5795662975774694	0.6288721268441373
YDR009W	0.871479188618478	0.8893648902514795	0.8865882059721394	0.874127632036666	0.8930669554182012	0.8846969180050994	0.8850775946086079	0.8773585071787429	0.8896081902722895	0.8686853116738152	0.8289006896293571
YDR010C	0.4246520530728335	0.5582548225107149	0.5706480231546344	0.5288813184652335	0.39132788449254075	0.563321978413024	0.11771471889837985	0.5054916756836888	0.5322542047504792	0.5372332819196667	0.6204199858522109
YDR011W	4.345100504035207	4.720626624516148	4.69359636324986	4.784804380362973	5.158695533469638	5.0627934665762355	4.78150582593166	4.6887496394674875	4.613381672059232	5.176222985074224	5.105440806954331
YDR012W	6.993166635916397	7.440454892985944	7.394035940132895	8.196583799265213	7.093352780634183	6.955602574207282	7.80663474266371	7.260831774972612	7.234728763217431	7.389481151001053	7.867481683391784
YDR013W	1.042312138036281	1.0325945402944576	1.0289670333660514	1.0540799445245768	0.998222149648854	1.0244678371578733	1.0673871708498839	1.0428301015894603	1.0834313330097662	1.0585615009397906	1.0488956462385468
YDR014W	1.0369500858553249	1.145539523214598	1.136987539758486	1.079550625831193	1.0847242726558572	1.0289670333660514	1.1255905771529688	1.0898288520682453	1.0462026339479127	1.1639616123417464	1.0552828069732747
YDR014W-A	0.5133529196511	0.631883458665481	0.4798664129086254	0.6199512487744979	0.6670520804825975	0.5490332218983595	0.6891570261348727	0.5255575411942585	0.6174466731769636	0.6213352922730313	0.6735613781581412
YDR015C	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.0932034663690275	0.10246030070760928
YDR016C	1.1487523866940879	1.0672634427215741	1.106619754619814	1.104424630708752	1.136169575212346	1.160746274142303	1.1097003170191497	1.055859905525443	1.060792271739104	1.0830074364225044	1.117929144415301
YDR017C	2.5125186848727035	2.5743835058993785	2.6545309038349445	2.6000404009872016	2.5550116198963395	2.451004067831933	2.459253000752537	2.658212472017074	2.587067901457917	2.683058393125285	2.4483363559526516
