Gene	SRR7160762	SRR7160763	SRR7160764	SRR7160765	SRR7160766	SRR7160767	SRR7160768	SRR7160769	SRR7160770
YCR016W	1.1864364221953934	1.1966371958227753	1.157456937195074	1.1756686200496684	1.398519469370449	1.5030890614784405	1.0512428900155326	1.1004544921777089	1.1474186259876649
YCR017C	4.01273977200594	3.915000287762613	3.882236909035906	4.529318982743569	3.779595298341837	4.348223465124344	4.561149509162873	4.006626424858978	3.9882410229088983
YCR018C	1.2673286941200257	1.2509454653917926	1.2972508107415972	1.6864694267260973	1.3102876377357662	1.5443866338645682	1.3702952800476016	1.2765281362375371	1.355423248731376
YCR018C-A	0.8906720018662148	0.8677021040273802	0.8998270469517922	0.9324618865271602	0.920437583989988	0.9168990756275559	0.9469385026199401	0.9086249945996636	0.8544234081647695
YCR019W	1.301956297413646	1.353662263367985	1.3377585472338391	1.2934792202037544	1.2409288391264588	1.234461571288738	1.2987604570715638	1.3594990322096256	1.357093238637974
YCR020C	0.8360505632798325	0.8234718657291354	0.8225821636181094	0.8430688137475396	0.8877291673952821	0.8218199327527389	0.8116599760107759	0.8457057700773368	0.8228944682595114
YCR020C-A	0.934316679094194	0.9351793164313125	1.0095191758938153	0.9830928534222654	0.9907485452407792	1.118583382680228	0.8424002964304235	0.9164160080024946	1.048675607364403
YCR020W-B	0.954325576294455	0.8644160334495751	0.9755775256592157	0.7640187107291017	1.0653490511795412	0.9371291489686768	0.757094056010594	0.898500984586961	0.8244145855901484
YCR021C	9.319358897355142	9.852400593668355	9.812777547282774	9.76669227681463	8.891690668658846	3.917849106492046	9.805057292625115	9.603361528118322	9.76669227681463
YCR022C	0.28926665815015795	0.24979341550257567	0.3002250076061868	0.28302865380292774	0.30853219322205705	0.3359352747643932	0.2872542639948892	0.2810066299516078	0.37689343602727327
YCR023C	2.2459615156633097	2.0562005977376865	1.9964780838996983	1.7295731866978223	2.5140627151757506	1.6717565285645843	1.7905156779100033	2.1432452349080098	2.021123991343101
YCR024C	1.2640496601868476	1.2546437886463495	1.2966299277223197	1.146324935693401	1.1511535698658892	1.1686382800510902	1.3102876377357662	1.3074560261431245	1.1286771167143326
YCR024C-A	3.0126579769421644	3.297356230902426	3.6284393286354883	3.1841302490292134	3.3725378043680156	3.550919974806831	2.9009289654431822	2.8708909729043635	3.045637393105312
YCR024C-B	3.9903989475338824	4.2051015407296415	4.444065371899854	4.552733779345404	4.374180222914072	4.36855957616727	3.957461746675649	3.9321915321157324	4.2138155348937305
YCR025C	0.5015119274236267	0.4560169715159633	0.4454682707819951	0.48597931357153734	0.5201636946856775	0.4635904556217429	0.5024832840828332	0.5376639784771371	0.46310857202634004
YCR026C	2.0434797865212757	1.9234247177998691	1.9702997916657339	2.110219558406981	2.002019307794638	1.8982106964633922	2.0428975087879375	2.1220310761730024	2.007260751245928
YCR027C	0.9503888949739463	0.9620965842295862	0.9902882212053408	0.8729006504744858	0.9387277860972091	0.897260499424777	0.8677021040273802	0.942600262617663	0.9839977611555729
YCR028C	1.6819154922699322	1.7322762965793785	1.5843981020246845	1.7595065951320168	1.852628280896719	2.0588394178647915	1.7113317108739279	1.619203867611749	1.7239640891547883
YCR028C-A	1.8718570360116171	1.821991687976845	2.0880279784018616	2.257106656764998	1.7702169389404543	2.506201128131014	1.8793261312539309	1.8616516294905228	2.1635733194087736
YCR030C	2.7203105077828407	2.7665556795752297	2.411538125783965	2.442707975252879	2.451412766524927	2.0818201526626883	2.774753342040164	2.891391216741422	2.554144860755758
YCR031C	8.251432549138935	8.044120634747022	8.298366898623406	8.020791325790096	8.558169508699493	8.565315738785966	7.616367451285127	8.056476510665892	8.553860458692217
YCR032W	1.5901457059022328	1.6168179568410703	1.6757011009512879	1.4815693909016412	1.48919310983077	1.3883336529980856	1.6471991657630418	1.6992948129534768	1.42866650138009
YCR033W	2.4473203624914657	2.295694660985591	2.1398579438332472	2.2332038304564072	2.4305939179975584	2.069263086587821	2.4120944315231325	2.343181176737525	2.3103178877651684
YCR034W	1.8357820252126755	1.5513605404469424	1.7707112973067696	2.002854386242436	2.0925454329697306	2.7439930909875723	1.6919344382373827	1.5370522846516337	1.8357820252126755
YCR035C	2.0054880776007833	2.0410632217805955	2.0756522994255264	2.098243135262806	2.127757296421675	2.09431612230721	1.992782100681078	2.0499535227253722	2.0327088475307744
YCR036W	2.6684417972888683	2.8069020872209167	3.1792263944932007	2.76728142454407	2.471907521266604	2.9740413879399963	2.778769165666725	2.8048617492274794	2.8780198347116652
YCR037C	2.3111140052927435	2.134851757416287	2.2332038304564072	2.2868599378007954	2.324486147471204	2.422126955258588	2.2690073618127125	2.1935922532045895	2.3653533690950135
YCR038C	1.0849470554988228	1.1587365860091836	1.0973958487762088	1.0509919723455052	1.0218508712514476	1.0183487970811413	1.1412665402412279	1.1569876338982334	1.0948871690288964
