	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YMR070W	386.0256158	-0.42272965	0.140800515	-3.002330275	0.002679213	0.03001021
YNL288W	455.598666	-0.2775641	0.09244136	-3.002596466	0.002676871	0.03001021
YMR101C	63.72079532	0.547117267	0.182302627	3.001148566	0.002689633	0.0300704
YPL060W	381.9357835	0.307418989	0.102501433	2.999167712	0.002707182	0.030209925
YMR232W	168.6970744	0.400789337	0.133848844	2.9943429	0.002750367	0.030634456
YKL148C	396.0301991	-0.810745997	0.270927347	-2.992484909	0.002767163	0.030764043
YCL061C	502.698541	-0.335221692	0.112091968	-2.99059512	0.002784344	0.030897404
YJL095W	400.7402864	-0.493532793	0.165139485	-2.988581398	0.002802758	0.031043935
YDL159W	254.1706966	-0.361627873	0.121193504	-2.98388824	0.002846107	0.031465588
YMR065W	401.5742087	0.251905239	0.084679268	2.974815972	0.002931644	0.03235123
YOR247W	253.8779603	-0.288315211	0.096976064	-2.97305539	0.002948512	0.032477237
YLR107W	573.9679385	0.210589744	0.070960115	2.967719883	0.003000176	0.032985331
YFR016C	1059.904085	-0.276067304	0.093182809	-2.962642001	0.003050111	0.033349744
YIL126W	1081.693313	-0.179804515	0.060680845	-2.963118163	0.003045396	0.033349744
YMR227C	418.9345188	-0.260462741	0.087898494	-2.963221903	0.00304437	0.033349744
YLL027W	480.4452665	0.361859214	0.122191156	2.961419034	0.00306225	0.033421149
YHL026C	217.4848412	-0.453254801	0.153091175	-2.960685366	0.003069553	0.033439614
YPL036W	203.741673	-0.380193982	0.12853683	-2.957860275	0.003097825	0.033686021
YBR292C	56.6451355	0.584533809	0.197784049	2.955414312	0.003122494	0.033692231
YDL104C	332.9147183	0.24351008	0.08240885	2.954902036	0.003127683	0.033692231
YDL164C	320.1646653	-0.373005464	0.126169162	-2.956391714	0.003112615	0.033692231
YLR417W	431.154421	-0.258382703	0.087455582	-2.954444961	0.00313232	0.033692231
YMR320W	110.0187161	0.478768196	0.162039981	2.954630041	0.003130442	0.033692231
YOR155C	436.0427144	-0.230050897	0.077862192	-2.954590544	0.003130843	0.033692231
YNL261W	519.7142819	0.208430876	0.070582859	2.952995678	0.003147064	0.033789824
YJL153C	241.5867278	-0.427614803	0.144840898	-2.952307042	0.003154091	0.033804371
YDL241W	139.0465165	0.607813129	0.205919558	2.951701793	0.00316028	0.033809887
YKL034W	416.5208935	-0.273870785	0.092807313	-2.950961264	0.003167866	0.033830315
YNL219C	500.5694939	-0.248541823	0.084261845	-2.949636609	0.003181479	0.033854344
YPR129W	262.7224833	-0.281160234	0.095306797	-2.950054373	0.00317718	0.033854344
YLR456W	226.7575197	0.291802302	0.098962126	2.948626045	0.003191899	0.033904686
YNL176C	610.1185082	-0.268995632	0.091350292	-2.944660874	0.003233088	0.03428109
YGR270W	997.5812745	-0.31062839	0.105650914	-2.940139148	0.003280649	0.034723599
YCL030C	1135.517908	0.377885635	0.128594959	2.938572686	0.003297273	0.03481692
YPR084W	287.3061531	-0.30648467	0.104310054	-2.938208327	0.003301151	0.03481692
YFL013C	340.9262878	-0.292306057	0.099595263	-2.934939358	0.003336129	0.03512366
YJR130C	595.1387589	0.250088767	0.085237503	2.934022672	0.003345998	0.035165432
YOR156C	230.2050854	-0.522593025	0.178224295	-2.93222103	0.003365471	0.035299731
