	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
YDR357C	254.5579712	249.9075163	236.5186919	241.0352739	227.4220343	218.9813831	261.6910146	244.9586676	305.2631977	303.5949205	238.7154146	350.5070876
YDR358W	221.9771333	212.5235636	196.631321	241.6310111	207.4570676	205.0728659	232.9833562	196.4441263	241.2337378	227.8335614	204.8320502	224.7209669
YDR359C	77.2036748	85.48962642	93.80297371	74.64548696	87.8648294	84.60759233	91.14700532	53.29490863	51.84000185	79.12232754	57.53407563	50.9572257
YDR361C	229.0787987	257.9394383	223.5555736	240.6561684	280.7916871	244.954317	238.2069042	294.8898733	271.6696401	257.505716	255.8212251	280.7283464
YDR362C	206.9166266	145.3616276	196.0506287	188.7496847	156.6366468	208.3853154	180.0288645	172.1354853	180.6234873	163.2976638	179.9759961	176.4471051
YDR363W	114.6061862	100.955961	119.7046639	118.0058426	101.8769184	119.4769429	115.5666166	97.6960882	98.25642496	99.06187163	97.27758111	97.26759619
YDR363W-A	184.3249494	274.7179594	190.2883751	195.163509	216.0887103	194.4437371	207.213124	269.7552648	233.9280084	284.5287777	215.9271196	310.4744879
YDR364C	145.5923032	118.7214966	134.3858791	137.3372841	126.2045377	140.5586753	134.4749625	133.3493747	125.5042331	123.2590428	137.9244618	118.7405614
YDR365C	329.1675884	297.3447961	348.1117801	350.4215931	294.8776535	371.9698168	321.5451387	343.9439817	353.8608158	345.0774123	320.938894	379.9153608
YDR367W	242.9752344	254.5315325	241.3511894	242.6403714	257.9014204	247.4417119	255.9256875	261.7691589	282.39559	244.7832669	269.250901	263.2884424
YDR368W	254.0437126	246.2341978	253.0835389	249.4503701	244.2005645	248.9379419	237.6371449	250.6734899	265.6177632	227.2009065	273.9465172	262.058743
YDR369C	85.72027114	96.03250346	84.57909679	83.81254986	96.17333565	90.66673112	96.43638853	84.70939353	85.08336851	91.28750019	88.47373902	83.43903288
YDR370C	175.7409232	200.0408922	167.4993482	190.099386	214.0889781	169.3991463	179.606791	195.3045739	181.5993735	177.8552501	206.8138196	174.900194
YDR371W	120.8386822	146.0549263	110.0635109	132.5523676	163.0118632	117.7795995	140.81847	140.5116125	126.6913929	128.5722763	147.7517225	121.2058383
YDR372C	227.517926	259.7062144	204.4576977	225.9419835	255.0607211	209.1305321	233.9503013	247.5823428	238.0603772	249.9587802	264.2025506	218.4336126
YDR373W	268.9512989	320.6174451	245.7344706	287.8848695	323.2298733	262.28212	289.6909956	307.980092	307.2945923	310.7874146	310.5398632	285.607434
YDR374W-A	150.1274017	164.6564142	147.2231113	148.3699191	159.2232602	152.1704513	153.1439378	133.5588788	184.6800066	176.7421722	151.161794	189.4279477
YDR375C	253.7482271	182.3924604	244.6940293	252.6702519	199.8087974	248.0837518	240.7756307	195.8675465	237.7129525	237.0311528	223.8975257	254.2947428
YDR376W	247.1088338	173.6679041	217.0316062	235.770245	179.4545063	225.3225429	248.6794004	165.6012807	222.3584856	228.3145231	181.5603408	222.3401394
YDR377W	197.1843809	173.6935007	186.3480603	191.2208118	179.1809967	181.9660641	200.2141524	162.0879441	232.0714369	252.0622863	166.6894565	236.3065812
YDR378C	208.4259562	242.2603166	205.6793466	194.2068251	215.3664887	209.9745661	204.6208917	226.102704	242.0368574	226.4845178	207.2446281	262.6062782
YDR379C-A	191.1121824	184.820492	187.5482225	202.623092	173.0805088	192.1561637	221.227357	148.0775146	279.8224557	284.0876478	149.5425694	298.2664465
YDR379W	156.1593063	142.9434805	136.3733355	158.6416827	138.2002756	143.8094375	155.6113482	147.4011155	125.8420453	134.8058111	172.3903268	130.6220189
YDR380W	289.0287589	84.13761826	268.6571401	263.3973673	92.53559604	261.3652916	227.0017553	101.8526744	280.7889896	206.779635	115.5674006	253.1777378
YDR381C-A	217.7399264	208.0726057	235.0621104	240.0772989	226.4887017	233.0067	238.1486445	209.8122179	303.1442125	286.8027135	189.8941779	310.2846926
YDR381W	314.763469	416.7715618	304.9974238	312.0521833	331.4651408	308.231718	323.2794134	419.2822465	353.010073	407.2685092	333.8003781	393.2806826
YDR382W	311.0549844	393.793662	300.6292037	300.8770763	326.588619	302.0973638	296.260594	407.3873153	346.9467981	352.2146449	351.9102076	383.561237
YDR383C	235.3519894	253.1530684	221.5500367	250.2606901	266.6029543	240.3313697	243.1104202	241.4241077	248.0796299	265.8595307	249.6051934	257.7870521
