Gene	SRR333731	SRR333732	SRR527798
YBL008W-A	0.32283020527061446	0.3453939386430118	0.07225061366584558
YBL009W	1.3347286216125283	1.458920742385653	1.5924579144822761
YBL010C	0.9887917887217891	0.9070979497234906	0.9811009972619213
YBL011W	1.883200231140917	2.1913147887683646	2.0925454329697306
YBL012C	0.9176777379477414	0.9646265527255719	0.8443401581218037
YBL013W	1.0019933544279147	1.0585615009397906	1.0849470554988228
YBL014C	1.4803657663732914	1.3924345716886617	1.340722142523461
YBL015W	9.319358897355142	8.753257547097324	8.46664072431871
YBL016W	0.6348483614022801	0.49388078166180305	0.5731576639557814
YBL017C	5.158695533469638	5.898421083574158	4.829396729634247
YBL018C	0.7098216164752364	0.7142992389998066	0.8983528539256944
YBL019W	1.373887950997779	1.2913352662345878	1.334024333944375
YBL020W	1.7126121832288004	1.7854881054893446	2.1355697968068825
YBL021C	1.1252655021617393	0.9724310915193812	1.0973958487762088
YBL022C	3.3561973723571072	3.957461746675649	2.6270003011324707
YBL023C	1.475051558470214	1.917379997616579	1.8845358461402189
YBL024W	1.8187834347323106	1.9164264899494676	1.9131079185615192
YBL025W	0.9105388252073572	0.9102550743406389	0.7456878211380533
YBL026W	0.7856138437764383	1.018039699364366	1.1526074229988923
YBL027W	4.078116863742302	3.5376754592141277	3.942850321874581
YBL028C	0.7998930932416265	0.8358689210010066	0.964905161425151
YBL029C-A	3.235662259558635	2.927892428439871	3.220033744315124
YBL029W	1.6043454175827705	1.5739627187673613	1.8796654367735246
YBL030C	8.423926762592561	7.8272803844083185	7.995929521708511
YBL031W	0.8071320792096344	0.5804470141591905	0.7149695195032305
YBL032W	1.8751682862575443	1.9608064618338346	1.6471991657630418
YBL033C	2.602666593916251	2.1790017281314187	2.3169218676152017
YBL034C	1.5795501471616988	1.5571162387605022	1.3714745981413565
YBL035C	1.6440870987795093	1.6766235412551502	1.4451588363280812
YBL036C	1.297743925524316	1.527905180576128	1.4865764436362352
YBL037W	1.6361432233102766	1.819419620075291	1.6154047402048541
YBL038W	1.5316283981599268	1.7043230581825686	1.6416775829896846
YBL039C	1.1864364221953934	1.109564579676147	1.5759925070748801
YBL039C-A	0.060793829540498126	0.41991153096898326	0.37459771056712254
YBL039W-B	0.788774373599886	1.1467842335909328	0.7831893122957334
YBL040C	1.0329997610471742	1.236581280824461	1.357093238637974
YBL041W	2.800214886656216	2.352475292325197	2.2503989541749037
YBL042C	3.441576199446796	3.1864854243851646	2.4239240593628524
YBL043W	1.9164264899494676	1.956957804160993	1.6110187277819923
YBL044W	0.286421080630092	0.09407668303879667	0.07225061366584558
YBL045C	8.298366898623406	8.298366898623406	7.508504588196985
YBL046W	1.047532670011791	0.8953965829102831	0.8234718657291354
YBL047C	7.183092421429269	7.668998893646417	6.724966066683784
YBL048W	0.5518499908214171	0.7963884537604685	0.8542845399175317
YBL049W	2.3932190712682395	3.550919974806831	4.2138155348937305
YBL050W	2.481093845262535	2.1519480148839234	2.4338004342323565
YBL051C	3.70986276823932	2.8908517674092424	2.955379501918412
YBL052C	1.416783599562316	1.2257986019503444	0.9933166956435404
YBL053W	0.8671945633127656	0.8311324940980578	0.7526077496393166
YBL054W	1.5292508517723258	1.4617610876026061	1.4234490116027017
YBL055C	1.1801065948288652	1.4430082859274151	1.4169745791144417
YBL056W	2.043994238664355	2.6076775820299236	2.8951249004244923
YBL057C	1.3501417714551156	1.350405271896196	1.3495715360828158
YBL058W	3.89663017846107	3.5780595642157134	3.093344163591614
YBL059C-A	1.148523738268985	1.2158912996647506	1.2758959235571279
YBL059W	1.2483079694594428	1.0878250298584473	1.041506451277662
YBL060W	1.2336007598066814	1.3108973634494978	1.0572068332097684
YBL061C	1.4553860196441322	1.2856645706783272	1.4177386897941615
YBL062W	0.716988059776866	0.7099857531263232	0.6649555724756122
YBL063W	1.0799530459760436	1.229809836011457	1.2313965931659834
YBL064C	7.440454892985944	7.8475530104494045	7.688236127974032
YBL065W	1.0084543772329384	0.862990674074742	0.686450308966097
YBL066C	4.963673930256058	4.275661937741961	3.532489237537762
YBL067C	3.133776829970021	2.8038320758532422	1.797745008479322
YBL068W	1.3837061961050086	1.2756189361379673	1.5401180528219713
YBL068W-A	0.5341550385466125	0.5557267975916933	0.5557267975916933
YBL069W	0.8547398606221515	1.0555614964794227	1.0244678371578733
YBL070C	0.5161275015938369	0.539167832095529	0.5015119274236267
YBL071C	0.8951537752034987	0.8430688137475396	0.8251418434339239
YBL071C-B	0.27279799624981266	0.35712000437583225	0.2467290725422856
YBL071W-A	0.962559612363243	0.9108418762142458	0.9855151007667677
YBL072C	4.390341996352695	4.230520175704577	4.440443264339933
YBL073W	0.5293844683206794	0.49305498645995616	0.5458873724281819
YBL074C	0.8647073298399709	1.0327998057660936	0.9706642338682004
YBL075C	9.101443759654353	8.93929830392826	7.526913510169944
YBL076C	2.6950540751557917	3.1137288486803	4.008220395273493
YBL077W	1.0530858437603978	1.1098101859061158	1.3300999158145737
YBL078C	2.3087557690411185	2.552184686978242	2.1386588086443687
YBL079W	2.640437525170099	3.0741838864645348	2.624095214492865
YBL080C	1.220876438184225	1.2602271453150766	1.021119577244372
YBL081W	1.0506206904170519	0.9201967026473358	1.3728223154437171
YBL082C	1.4504982363738046	1.7864918361447626	1.8364481886579536
YBL083C	0.7416416778474374	0.9711030051679485	1.0183487970811413
YBL084C	1.4114164461051828	1.5340821572913481	1.4851880044694528
YBL085W	2.0303281508246998	1.6224288663871793	1.5801638835742873
YBL086C	1.6757011009512879	1.5666039142742374	1.4803657663732914
YBL087C	1.6562316606835017	1.5629764920132145	1.7558072474126658
YBL088C	2.2205257277849424	2.098879637281681	1.8152610519268229
YBL089W	1.1232417412160656	1.2987604570715638	1.5868195176293027
YBL090W	0.9899569520671597	1.1858938940895598	1.1552177628207045
YBL091C	3.1610931044790367	2.833783733184437	2.4659200820482274
YBL091C-A	0.9357836702812614	0.7420183425754286	0.8449857905079575
YBL092W	3.928368727331276	3.3648071905930736	3.391999362612405
YBL093C	1.6475177024890688	1.2515657840516226	1.6766235412551502
YBL094C	0.9302827804398033	1.1038925218754234	1.0039876098422933
YBL095W	1.48867357331999	1.3978876402857363	1.4949791725122104
YBL096C	0.7011906235199086	0.9133907831800575	0.8113380510938963
YBL097W	1.1612596429452013	0.9920055887767258	0.8758192971028678
YBL098W	1.7245035195887883	2.139319502841997	2.190921452500358
YBL099W	9.029508630353824	8.83219217241757	8.76194299762172
YBL100C	4.973675280173218	4.325663944018414	4.481135034766768
YBL100W-C	0.37497184797249117	0.5288813184652335	0.444045522890658
YBL101C	5.219834472101928	5.127107023622281	3.4456635392168127
YBL102W	2.031829121924452	2.41447402580617	2.4639452042185823
YBL103C	1.9723161249574084	1.6791619529560347	1.7119017313428786
YBL104C	1.5502167555492732	1.591821957709821	1.551009826041825
YBL105C	4.320616846459631	4.252675067465697	3.2560085602928286
YBL106C	1.6606265437962753	2.3343016553852336	1.7745173356002524
YBL107C	1.1115395336575615	0.9792969387754891	0.9337385014185671
YBL107W-A	0.34390534238909165	0.3791600563319566	0.45190030509058
YBL108C-A	0.650158489181276	0.6100587337237078	0.65791213700214
YBL108W	0.060793829540498126	0.40388447227285634	0.332001932152033
YBL109W	0.5310319399981	1.1761658213821735	0.6679328224002313
YBL111C	0.060793829540498126	0.09407668303879667	1.0726212032420115
YBL112C	3.1404649890042178	0.8569121719360124	1.947197131281161
YBL113C	1.8924826789847597	0.7845026749382638	1.6741048336912163
YBL113W-A	1.6244679009270193	1.308040071546957	2.404175983711334
YBR001C	3.5103994774816165	3.9447440408606713	2.8523580999428635
YBR002C	1.2255067187929871	1.1545595648822389	1.1989559634997125
YBR003W	1.4540686487275665	1.9748087067996867	1.8187834347323106
YBR004C	0.8031571360936979	1.1805357289511318	1.4504982363738046
YBR005W	3.683662540354722	2.1582227133815777	2.4290492322557995
YBR006W	3.3648071905930736	2.5375660240202613	2.4120944315231325
YBR007C	0.9207033761235819	0.8679559729611784	0.8803123530628553
YBR008C	1.146324935693401	1.322920318477379	1.0081913504362205
YBR009C	2.051051001706538	2.6016413840374875	2.8557919315300495
YBR010W	2.3840102142096153	3.2421095029454725	3.1841302490292134
YBR011C	7.85550014756928	7.169528221370911	7.366089494619184
YBR012C	0.23135405751180582	0.5108763328761043	0.5908384469996739
YBR013C	0.7402377005814837	0.5474168800285554	0.44847479500976695
YBR014C	1.8616516294905228	1.7443624258859114	1.7137997630704314
