	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
 D-Fructose	1217526	2063753	1630224	1830249	1599278	1413472	1853321	1192420	1017107	672709	2380719	1411533	20025205	22318206	10428949	7514229	15388171	7112478	23985678	22173181	18561511	31130941	20418815	21561749	9390200	25519621	10429793	17312883	1911422	1355431	9891542	5105522	7617898	2249055	11391737	18846875	6515034	30678092	30712291	39940847	515835	26776846	5190760	4206307	5758683	2248584	1530372	3170918	17980014	8283569	36021918	39496110	59464439	1698809	27210872	46296826	28151378	35322077	33379412
 D-Glucose	5574165	2896187	13724810	7947432	3246266	6405150	3142934	3234076	3153104	2832460	2410297	2402800	11175	24743	3224	2042	5125	2059	18382	6055	23522	65211	11414	15840	2289	5259	9280	15036	859	2202	3119	1488	1172	504	3562	5858	1509	5753	12244	15085	1075	4548	960	1264	5952	407	0	1420	2524	0	7217	9467	7110	0	8042	34280	4797	12067	16378
 D-Malic acid 	84739	78305	114987	103899	88861	89762	699270	534457	644279	613403	517217	707692	6965	14018	8593	5593	8783	5160	49183	36224	69198	52520	48591	43429	50584	49478	30886	69633	29955	36986	78450	147260	78993	84579	129899	117214	80555	159766	297209	304564	41499	204829	114504	246936	297868	229056	132365	282394	270214	222242	431319	322816	315385	487638	1016079	1168304	990154	932779	1381282
 D-Mannose	1467045	1599016	1282502	1833631	1297609	1151534	2405879	1543923	1372521	1031274	2805311	1762386	2322754	3122279	1285544	1009317	1492426	925621	2858611	2447117	2114843	2783463	2112479	2632690	1185259	2016283	1025039	1592793	376784	214256	1121188	1164378	1218957	776949	1485469	1907926	540922	1496705	1749246	2294451	105372	1135616	764053	733953	707164	650234	377168	523794	645654	267319	2585445	1603354	2287190	93096	1785416	3147570	1270619	2251305	2624352
 D-Ribose-5-phosphate	55101	71763	72534	121798	11677	108516	98806	57216	81406	82224	184093	33759	43551	42873	45976	38301	46276	25246	22569	15953	29731	21948	20442	26690	28442	34949	33887	32878	19394	7989	29765	42582	19053	27091	22447	27760	14233	45063	27321	20952	18033	26474	26057	17442	13869	23526	30660	32743	49279	7580	24766	48187	29368	19252	32407	77601	81241	5368	41116
 D-Threitol 	162172	188132	123682	164023	162424	172808	124324	89792	121742	123212	131427	143481	115224	155728	183195	196399	111902	74524	84170	75310	143029	198037	72436	79059	69642	72437	49272	55480	37176	0	43528	34126	49521	41322	58594	54984	37975	77159	285942	295407	12532	85809	32374	52992	45989	54537	29707	41344	76329	48514	142711	136049	145373	44425	195121	480948	123092	203014	358647
 Eicosane 	217848	63916	123022	285933	115269	229030	133208	89050	68864	86205	67425	41227	41448	54795	22103	57226	92429	94796	31202	43355	27387	20592	36369	21754	296777	143762	264168	329807	308121	891157	134515	93885	99015	217427	88924	33392	43704	231306	76060	96166	48715	32635	40759	68696	54207	62818	147570	34188	78396	153579	67931	302848	75315	237180	43512	159272	107786	141333	770375
 Elaidic acid 	54710	54664	231183	312256	38691	155773	0	138024	123211	169093	131601	73218	95197	73460	97070	58104	114148	51392	50951	73903	24510	81499	38064	28679	118296	94892	166897	259980	258232	289320	96687	96538	47912	186384	30386	80728	117675	182236	35530	101023	87951	33862	35368	40303	46620	41945	58980	133730	118809	356619	48232	264834	277126	198286	124706	176533	100513	148108	106939
 Ergosterol 	258974	552588	404092	123877	40143	621685	401626	86377	147596	100567	81044	34010	101320	59816	220872	41301	48418	86566	21381	22877	40556	43269	18378	10668	42951	40222	94351	118327	43803	22852	107701	229392	91266	385264	71553	87526	42012	85008	25107	64506	6958	7353	22524	20682	86077	26594	42676	180897	52269	21679	50952	241045	50600	18577	39492	328323	53852	185239	180679
 Ethanolamine	5404531	2640285	11057988	7271342	4529770	8861450	3372369	2975491	4047766	4251621	4146125	3847678	7237774	5025437	5467808	6490624	9672786	6749785	7849500	10473133	6443752	8257802	9288048	6391786	7211194	5541049	9941013	12608609	10255650	12255638	7965187	8168354	6193015	11582519	5931703	6455775	7788728	4536009	4996560	6473925	5300758	7043785	4562672	6753767	4854380	4959960	5478716	11304616	6179180	24578716	6151593	11069203	11727713	13123251	5879137	7173701	5810827	6275532	4909306
