Gene	SRR4018567	SRR4018568	SRR4018569	SRR4018570	SRR4018571	SRR4018572	SRR4018573	SRR4018574	SRR4018575	SRR4018576	SRR4018577	SRR4018578
YAL034C	1.392706940728302	1.4177386897941615	1.4101337527096889	1.3712498391396108	1.3288917774696047	1.303972785922936	1.4197259931693198	1.3568361688148305	1.3878538518315473	1.3730928328952365	1.2785581878775012	1.2837840792609954
YAL034C-B	0.2834626217739799	0.08610681275759909	0.32157717985386	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.20464491362446646	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.28018817801421986	0.2850839514749469
YAL034W-A	1.0177403570649581	1.0186115152430946	1.0175199684327345	1.030026619376221	1.0373185389997397	1.006822396662502	1.042312138036281	1.0146489423269445	1.0029088769594923	1.050415353929273	1.0488956462385468	1.0195858238285196
YAL035W	5.501020347462963	5.713891636987398	5.671190090072709	5.543752420883603	5.876905206211132	5.809809709096388	5.297798123745092	5.511250250564805	5.321835094248071	4.8791673437465395	5.47704237147056	5.728325745546568
YAL036C	2.860527174399083	3.1221217591635604	3.1205563188172145	3.266910781249353	3.6235567109959472	3.4791294225058746	2.8867415586917833	3.3507209539313467	2.9375517238357225	2.3387938737247054	3.0542635706171155	3.32720473712029
YAL037C-A	0.46191811066646876	0.37081052947897053	0.3671075596798518	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.5490332218983595	0.5361896318494417	0.567044210286691	0.25662980673829683	0.5298961015676911	0.2549474735910296
YAL037C-B	0.8918577550080478	0.8377558530770033	0.8179079740307716	0.8773585071787429	0.8485107309490493	0.8606975734295788	0.7402377005814837	0.746461699138165	0.7507529185141886	0.755529745016853	0.776303957520152	0.8086606557779243
YAL037W	0.8204998337036701	0.8485107309490493	0.827187089791005	0.862990674074742	0.8734789096698959	0.8599710047169438	0.8880061602379032	0.8841503478638127	0.8677021040273802	0.8599710047169438	0.8755715131463493	0.9005088695045532
YAL038W	11.237759902083965	11.00159888932874	11.00159888932874	11.00159888932874	11.00159888932874	11.00159888932874	10.574262456909707	10.641639102468298	10.641639102468298	10.81015640473891	10.641639102468298	10.81015640473891
YAL039C	1.8183220320019653	1.8481195117050657	1.860265320714296	1.8299362092797058	1.921292132704531	1.8634848043574737	2.416124685029732	2.3504485299121685	2.473064790075078	2.523595527789924	2.422126955258588	2.2707860252902994
YAL040C	2.9460629072546602	3.071909838092634	2.89588992947028	3.170207767886935	3.13293986167627	3.116126717798925	4.2429226017053105	4.022210565855373	4.1736600078265536	4.011192371455821	3.3330876791208124	3.3237117231224746
YAL041W	2.380150036722172	2.3343016553852336	2.315597668272062	2.3504485299121685	2.3164116047381964	2.324486147471204	2.3504485299121685	2.3343016553852336	2.295694660985591	2.2321852922635834	2.3681039251099754	2.2391338607264943
YAL042C-A	0.4947753174049054	0.4719676881004735	0.47379653305708536	0.5386222562223394	0.6094373457896068	0.4386636308947014	0.4341484091419673	0.27776229686666665	0.4707279028120907	0.4267726361660512	0.5610862367616671	0.49305498645995616
YAL042W	5.444885532704093	5.434941324580414	5.417044221937409	5.6414862246158135	5.303056742831767	5.221787266494389	5.683399443969515	5.746537922139947	5.740083331388864	5.807278918415465	5.738547062903917	5.5345897631471
YAL043C	2.6343291323459104	2.524472679783865	2.586081597282046	2.663878680608063	2.5535227822138262	2.561553758251386	2.8591924437535656	2.778769165666725	2.7761587750330166	2.793145461469655	2.737748396383861	2.5103763722396844
YAL044C	3.4278401444799966	3.253377932457782	3.334607934936575	2.619872287351999	2.3642529605133893	2.323175124576384	1.7083314206895504	1.6603424884630793	1.7702169389404543	1.943618278400735	2.1259618066352104	2.078742739884831
YAL044W-A	1.4727695080565784	1.5147121443958356	1.5205629116716517	1.5346420453957437	1.5403969845903125	1.348744307195407	1.5132646962916394	1.5454735409560358	1.5073720140127906	1.5791660811263242	1.6600520850001765	1.6660474072103217
