Gene	ERR2088803	ERR2088804	ERR2088805	ERR2088806	ERR2088807	ERR2088808	ERR2088809	ERR2088810	ERR2088811	ERR2088812	ERR2088813	ERR2088814
YDL185C-A	0.16148174010573182	0.13693379302927539	0.39597379959843887	0.3237636142568878	0.40923602538379145	0.4884890393080643	0.14051486678826258	0.2978374008712847	0.12628717608581289	1.042602442106082	0.16937883593771885	0.15198644603121902
YDL185W	6.060283028770828	6.900381552617359	6.467132649298106	7.228759868190391	6.447279231992917	7.059582840233913	6.082735841766783	6.028143506047837	6.550488326260689	5.2311441328757216	6.323736214613266	6.0046331196723015
YDL186W	0.5255575411942585	0.4425014606982791	0.33678970631092847	0.3646222852438685	0.4673378023966709	0.5039818197129757	0.4866641614634829	0.10246030070760928	0.6060420982838138	1.042602442106082	0.16937883593771885	0.46797310730781577
YDL187C	0.16148174010573182	0.3791600563319566	0.563321978413024	0.6759014424347112	0.6385684753242986	0.512805102191215	0.6602654185201088	0.5601014636166457	0.5201636946856775	1.042602442106082	0.5927246552392569	0.5218430702378196
YDL188C	1.5203257361574327	1.8650048296189385	1.8416264777745845	1.9619779592463042	1.9131079185615192	1.9450616677313404	1.8847819517784292	1.7980902914139287	1.823898833565643	2.484099806280983	1.8032005268678981	1.869830691987898
YDL189W	1.2825896389568627	1.2902614610175194	1.235489662167538	1.4456715359129493	1.291584798030202	1.3246026646853357	1.3239527733037053	1.3354648737185648	1.3978876402857363	1.042602442106082	1.3409817541032827	1.2934792202037544
YDL190C	1.7141271235645466	2.3441191596722715	2.2895468382911606	1.953106770249105	2.1519480148839234	2.6937389984483806	1.9768073447144228	1.9439204936630166	1.8776693480829374	1.042602442106082	2.051051001706538	1.9622473087811358
YDL191W	4.2429226017053105	3.243303271567622	2.7585193478316645	3.8740733043045776	2.7627136372922845	2.3164116047381964	3.5132934548328913	2.87917799249189	4.600894287024632	1.989125188474285	2.658212472017074	3.280344810496498
YDL192W	3.2872898484339066	2.7423287943743855	2.54141773665724	2.663878680608063	2.4192254198375087	2.450550566921537	2.6249599608305347	2.638904468693111	3.437968484610089	2.94248683225366	2.8149648440373807	2.5550116198963395
YDL193W	1.4181790240910255	1.6430366156415344	1.620755069134278	1.7067896939272929	1.8567523784198223	1.7878778516575693	1.4906276215362468	1.5222263822240674	1.5139275970840371	1.042602442106082	1.6660474072103217	1.6230057909606788
