Gene	SRR5798519	SRR5798520	SRR5798521	SRR5798522	SRR5798523
YER078W-A	0.4364767819601296	0.332001932152033	0.32656551084756413	0.3327291998375489	0.3242061494563272
YER079C-A	0.6308077725710624	0.7191628301935666	0.6002351120894922	0.5952723510172941	0.608394052691905
YER079W	2.5264190171816363	2.9009289654431822	3.061952215618842	2.18984128281531	2.97308028633989
YER080W	2.460064039255635	2.9383268816778667	2.5392255125053955	2.270375079664376	2.4410954650034817
YER081W	2.54141773665724	2.043994238664355	2.4824170912183003	2.0173867734600286	2.4521264450496765
YER082C	1.6608545380922002	1.7121695195706765	1.7870178347010601	1.9069017903743752	1.9206536517529418
YER083C	3.118251167178124	1.733339930289626	1.6983779070201954	1.6817012663617692	1.7443624258859114
YER084W	1.911093183144395	0.8101424438522529	0.7447037781382359	0.6002351120894922	0.7374435022249619
YER084W-A	0.4032037460775635	0.5341550385466125	0.6150586521513195	0.5240515001488368	0.5819810943978373
YER085C	0.24543671657737567	0.361989692784645	0.44847479500976695	0.27776229686666665	0.37164851790994813
YER086W	1.7720893694364581	2.232726304237484	2.1063922163975026	2.2026308923789886	2.0805897911967213
YER087C-A	0.5706480231546344	0.6476309026139548	0.5697006822269474	0.563321978413024	0.5775789688553062
YER087C-B	1.9450616677313404	2.1187806482908575	2.6236616636212746	2.41658291362499	2.5119252826658354
YER087W	0.8603163343069447	0.9010634428551558	0.8430688137475396	0.7924598507959895	0.8454338294722632
YER088C	6.341596515337765	7.24882279610034	8.020791325790096	7.862924413071527	8.46664072431871
YER088C-A	0.4274953066242785	0.6794921314407292	0.5711449061221573	0.6060420982838138	0.5501354106719671
YER088W-B	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.0008738636561302895	0.009644312695882297
YER089C	1.8578549830639373	1.9272602962208538	1.8183220320019653	1.832534075851374	1.797745008479322
YER090C-A	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.0008738636561302895	0.009644312695882297
YER090W	1.767978422362934	1.6080922606842576	1.473199045825904	1.5097709620020225	1.3286702526473753
YER091C	3.1748756757950787	7.72279632842891	8.298366898623406	6.944767478794507	7.27769815307498
YER091C-A	0.28926665815015795	0.17273114192088365	0.1789035361593941	0.3242061494563272	0.1396333067630242
YER092W	1.0653490511795412	1.0297661020960756	1.0512428900155326	1.1856261007852948	1.0862525145432957
YER093C	1.7618191695568337	1.7859792454706982	1.8146625477499978	2.029679433003224	1.6398463823827032
YER093C-A	1.041506451277662	0.9594047601720374	1.089346706011919	1.1160724011384704	1.136987539758486
YER094C	3.761389737018569	4.4314345936299535	4.6342467952914115	4.417556895078075	4.720626624516148
YER095W	4.2138155348937305	3.3725378043680156	4.451413864625257	4.2138155348937305	4.750955268123949
YER096W	1.4902436621946649	1.4756546747980708	1.5240821983093682	1.2227123072711532	1.4648520664989015
YER097W	0.18586035592533104	0.30757530693119306	0.27359411131952976	0.23689834990677	0.21336873193065614
YER098W	2.2225125325132287	2.4399486430817334	2.811016816859993	3.158008760806217	3.1926200966919556
YER099C	1.9811740004538003	1.8631810175347674	1.9203345613592129	1.947197131281161	2.3040494780829137
YER100W	2.5375660240202613	1.8793261312539309	2.5077083713576807	2.6790316559669365	2.8053909685874814
YER101C	2.1917555664264334	1.798316216405507	1.51249742490076	1.4171974077462768	1.5286315187215744
YER102W	1.759238094070108	2.4354547844085914	2.3734541460347787	3.0484609464179986	2.619872287351999
YER103W	10.142519078392704	9.094002106928592	6.895388895706729	8.39218632106191	7.234728763217431
YER104W	0.9641646613228146	1.0103234001552348	1.1060443319297926	1.1041032970240994	1.1288744918230302
YER105C	1.8152610519268229	1.968686745807772	1.5438264059378304	1.6527747309165848	1.443759791207323
YER106W	0.45532081884020703	0.4838253978694283	0.5532040952951327	0.6973818052401605	0.5133529196511
YER107C	1.035360283919332	1.1041032970240994	1.1043144206834954	1.2257986019503444	1.0567924684915244
YER107W-A	0.4084756005172566	0.49388078166180305	0.487248138603386	0.5397018892973792	0.5255575411942585
YER110C	1.919417113499788	2.1426672424469846	2.007260751245928	2.0282678318057323	1.9308375276575502
YER111C	1.1644558462750005	1.160486770655572	0.9913098686142686	0.9623333631246525	0.9357836702812614
YER112W	1.0473255882158952	1.2542728659255407	1.2899433258097752	1.2392968370927473	1.2954559584274978
YER113C	1.4019910966277505	1.1811266891213583	1.0610885679771462	1.042602442106082	1.0289670333660514
YER114C	2.327824055729507	2.6000404009872016	2.41447402580617	2.3840102142096153	2.3709427079228185
