Gene	SRR7241903	SRR7241904	SRR7241905	SRR7241907	SRR7241908	SRR7241909	SRR8093860
YFL034C-A	2.554144860755758	2.9058021551826476	3.1851040351897106	2.7131621188167343	4.575776548819633	4.104972248049149	2.6980361742265098
YFL034C-B	1.5417567773584575	1.788803456497021	1.8187834347323106	1.2938622069087886	2.0183575026384	1.9119236944087343	1.6782926412943073
YFL034W	1.8396312173713107	1.7953091737292515	1.5868195176293027	1.686867265862	1.8179672858923068	1.7443624258859114	1.6854374279542974
YFL036W	1.9513083304528833	1.9964780838996983	2.7161613002677707	2.737748396383861	1.7899582960067364	1.749176896148429	2.2026308923789886
YFL037W	4.96835028938277	4.47521315809601	3.950658197788335	3.7780996869047865	4.328475630067351	4.440443264339933	3.2596578754308156
YFL038C	3.090984962855438	5.153694329883986	5.505269729727541	3.8683851451790807	4.7431600173775035	5.297798123745092	4.1227741795041375
YFL039C	8.911328416205382	8.488234787372901	9.805057292625115	8.93929830392826	8.6642995021941	8.768000765249877	9.172262829644419
YFL040W	0.24586199416948817	0.3042977321525522	0.6979715300139742	0.601677450111175	0.4884890393080643	0.2510567418678871	0.37164851790994813
YFL041W	2.5199007743467674	2.488408907548781	2.171638773334146	2.4781219050178205	2.0921179433293946	2.1215862903541867	2.51634445148803
YFL041W-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL042C	1.5205629116716517	1.5671394609221796	1.7150233038725329	2.2286038509502686	1.576624483743108	1.5813354651094937	2.171638773334146
YFL044C	1.7012643811288246	1.741684075375925	1.8621745052873597	1.7527118757319173	2.036863350353649	2.5125186848727035	1.8884953637831412
YFL045C	5.637427308317436	5.764282690530599	3.8797112718837425	5.137761177973639	5.151553351268149	4.427127418479231	4.009422639544145
YFL046W	1.3991080054421057	1.43044466668241	1.3356708762297067	1.793387141377927	1.5975116473931004	1.5531628087380553	1.1048146401221217
YFL047W	1.7443624258859114	1.6873438021216307	1.4171974077462768	1.2010653935868956	1.7595065951320168	1.8102389070667875	1.3405163199715728
YFL048C	3.0542635706171155	3.002015092263358	2.314148629464103	2.5191250822081424	2.749757338329535	2.9460629072546602	2.6395420796856266
YFL049W	1.43044466668241	1.6487756858184761	1.8854142929286728	1.7141271235645466	1.7329444539065062	1.341263856247239	2.04815525762746
YFL050C	0.6785540680827926	0.3042977321525522	0.32540453702911754	0.6002351120894922	0.5971051858668761	0.5917738348274523	0.7077164784066974
YFL051C	0.24586199416948817	0.6356860003661565	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL052W	0.7885627234781627	0.7822860056713643	1.2689983176949862	1.0757680802323955	0.7539823913425328	0.7099857531263232	1.090225544729482
YFL053W	0.6979715300139742	0.722895382901105	0.65299961809661	0.7423687155108252	0.5824664208958594	0.2510567418678871	0.726216408077552
YFL054C	0.9347962210809692	0.9515734969525573	0.9743052259343197	1.3334799849687697	0.8779527933016485	0.8821510686863183	1.084521568926953
YFL055W	0.8334706518014015	0.7289944260234733	0.7875733845849976	0.7813446558824603	0.814030727198921	0.8424002964304235	0.7201504356193501
YFL058W	0.24586199416948817	0.3042977321525522	0.8186479027339597	0.792738820596042	0.826127904557338	0.6992547547300882	0.8410643315307594
YFL059W	0.9419869558099904	0.8830288717966792	1.477284535016142	1.253661216712858	0.8959103052597331	0.9168990756275559	1.2255067187929871
YFL060C	0.8147114265620764	0.8443401581218037	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.8338722473156563	0.37164851790994813
YFL061W	0.24586199416948817	0.3042977321525522	0.7110681275338336	0.784823585003687	0.7845026749382638	0.7115099871053032	0.37164851790994813
YFL062W	0.6762761042437798	0.7281818702098921	0.7352621973660436	0.2752891334505877	0.8143260860542362	0.7655219986765288	0.908876374270428
YFL063W	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL064C	0.8860333952511935	0.8899678130658213	0.32540453702911754	0.8723916506667486	0.22460273481834392	0.9452014833889766	0.37164851790994813
YFL065C	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL066C	1.0244678371578733	0.8475495401311928	0.32540453702911754	0.8490395877300787	0.9469385026199401	1.1968535960958713	0.37164851790994813
YFL067W	0.5961711833075773	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.49388078166180305	0.2510567418678871	0.37164851790994813
YFL068W	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFR001W	1.8809330215793394	2.06746050456616	2.025018937839265	2.1029149319350013	1.9791999533801663	1.7306458406861647	2.097019709045305
YFR002W	2.3396416521446395	2.6270003011324707	2.180115608339032	2.2476412412431905	2.688043216268953	2.3387938737247054	1.8938992734688167
YFR003C	1.8889412895444084	1.6846975231928694	2.200116393892349	2.2349911102822513	1.953106770249105	2.5380847724604436	2.506715741929141
YFR004W	3.1792263944932007	3.1221217591635604	3.3310775484059496	2.488408907548781	3.6284393286354883	4.2429226017053105	3.4932736808931493
