	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
ATM1	10.5261	9.41292	9.92435	5.54656	6.02035	5.84271
COX14	10.2898	9.87847	10.2666	5.25761	6.3268	5.24211
HSP31	10.8586	10.8117	9.93205	5.12408	5.3142	6.09916
RRG8	15.4602	16.5301	18.326	5.45344	3.9475	5.6863
LCB4	11.4308	10.8924	11.2325	9.0073	8.57759	8.61113
SDH3	13.6661	11.9246	12.9176	5.24884	6.09887	4.77063
MTQ1	11.5437	10.3865	10.8155	5.97093	6.48992	5.64986
MSS18	9.46	10.3747	10.6443	5.59548	5.955	5.5251
RHR2	4.92536	4.17168	3.60886	13.8112	12.5022	15.0036
PXA1	3.87198	3.97159	3.97973	10.5664	11.7343	12.8841
IRR1	8.23654	8.05612	8.5449	10.8513	10.5914	11.1866
LPD1	11.9483	12.1948	11.0094	6.57419	5.39203	5.85283
UGA1	6.70038	6.97437	7.95657	11.8698	12.473	11.9742
RPI1	14.8624	13.7495	15.3813	5.95824	7.66157	6.66949
ARA2	6.59406	6.95186	7.62242	12.0655	11.2489	12.1468
YFR045W	10.9942	9.88957	11.2333	4.76011	5.60443	5.251
AIM23	11.2481	10.8425	12.409	4.81011	5.65987	4.61538
QRI7	9.10672	9.53942	10.0879	6.24473	5.80034	5.82988
MAL12	8.08862	6.91218	7.61183	14.0999	16.0537	14.9912
YNK1	11.9946	13.4571	11.6636	5.82563	6.04877	5.40489
CPA2	1.94922	2.02712	1.68763	3.53376	3.84018	3.47762
AIF1	8.06529	7.59493	7.48465	10.3394	10.8697	10.9807
ATP18	13.4551	10.476	12.5327	1.88674	2.34557	1.81377
PFK26	7.22845	6.6402	7.76937	11.5132	12.3877	11.8113
ATP25	10.8772	11.1816	12.3581	4.90661	3.47962	4.65526
MRPL36	12.3409	10.7088	11.38	5.08161	5.89471	5.16034
YMR185W	8.08145	8.34482	8.69637	10.7097	10.9599	10.5788
EHT1	12.6549	10.8597	12.3057	5.26053	5.79245	5.46151
HXT2	1.14129	0.947365	1.5946	27.0673	34.4145	26.78
POL31	8.66669	8.51206	8.78045	9.82864	9.67387	9.89872
IMP1	10.0155	9.27961	9.69162	5.37081	6.25702	5.98863
MHT1	9.37097	9.72985	9.01133	11.9802	12.4879	12.1989
GTT1	7.40898	7.13027	7.39745	11.1334	11.0776	12.1824
TPO1	15.8017	12.6787	15.7684	2.65591	3.28772	3.00499
UTR1	7.84697	8.11783	7.90804	9.83109	10.3214	10.4201
YHB1	11.7312	14.9092	12.351	2.04468	2.18009	1.58089
HNM1	15.464	13.6365	14.3398	7.11199	8.07668	6.94978
RGI2	0.41754	0.444452	0.501672	1.23782	1.10546	1.05013
DBP1	5.69739	5.55604	5.91959	8.60235	9.50891	8.8176
COX7	12.5002	9.70118	10.7585	1.54309	2.01524	1.15948
YPL236C	7.46138	7.13119	7.80204	9.72162	9.58656	9.78608
SRO77	9.585	8.48489	8.65658	15.7407	17.9391	17.1796
YIL055C	4.67807	4.68352	4.49963	11.931	13.5292	14.6668
MSE1	9.69431	10.278	10.6537	6.43916	6.45333	6.95875
RNY1	7.06262	7.42489	6.95996	9.60947	9.69015	10.2511
AMS1	4.31193	5.01139	5.42442	12.5052	11.0899	13.0413
AEP2	10.6882	10.0943	11.1446	6.29232	6.99576	6.64353
ICL2	3.28024	3.71381	3.75197	5.98335	6.6747	6.49709
YKL100C	7.40901	7.40229	8.10021	11.0875	12.0192	11.4603
PCD1	7.41165	7.94446	8.00231	10.9156	10.8447	11.6031
YML131W	7.10768	6.26195	7.22231	13.3607	12.7917	14.6269
PXA2	4.29413	4.40924	4.56078	8.21581	9.62572	9.24072
ECM19	9.75923	11.1056	10.4162	5.60688	6.20475	5.73147
VPS27	8.56795	8.12577	8.58061	10.0248	10.0511	10.0007
YDR514C	10.2826	10.1684	10.0806	8.54301	8.5156	8.05166
SUC2	7.44879	5.73275	6.46614	12.802	13.7098	12.5571
MRPL11	10.9426	9.99896	10.7751	6.69945	7.29265	6.81588
SOD2	11.315	12.8277	11.715	6.48589	6.37487	5.48349
GDB1	6.43469	6.88261	7.86183	12.8106	11.9075	12.8769
NKP2	8.44074	8.76898	8.03507	10.8751	11.3959	11.1136
CHS3	12.3351	12.034	13.105	9.18848	8.92739	9.11219
HSP150	12.7969	12.1778	13.3294	8.6007	9.02542	8.27549
RSM10	11.8161	10.6214	10.7033	5.96624	6.7627	6.04365
FMP33	8.39328	9.51922	9.83708	2.72909	3.05886	3.98579
MF(ALPHA)1	0.249762	0.42601	0.463597	11.9094	15.6561	11.9997
YEL047C	7.75153	7.26887	8.02069	12.994	14.9686	14.14
YJL185C	7.01582	6.60118	6.20213	11.6035	11.9855	10.6391
MRP20	10.7787	9.83231	10.7726	6.07936	6.86576	6.37426
